Initial_LR: 0.00014773957;Decay_Factor: 0.9; DecayStart_Epoch: 8
Epoch;Loss;Accuracy;Learning_Rate
0;0.6493619084358215;0.617222249507904;0.0001477395708207041
1;0.5814213156700134;0.7004189491271973;0.0001477395708207041
2;0.5305420160293579;0.7384517192840576;0.0001477395708207041
3;0.5022634863853455;0.7566120028495789;0.0001477395708207041
4;0.48362866044044495;0.7683424353599548;0.0001477395708207041
5;0.4684368968009949;0.7775227427482605;0.0001477395708207041
6;0.45502811670303345;0.7854098081588745;0.0001477395708207041
7;0.44290822744369507;0.7936521172523499;0.0001477395708207041
8;0.43103477358818054;0.8003096580505371;0.0001329656079178676
9;0.4212695062160492;0.8059744834899902;0.0001329656079178676
10;0.41222235560417175;0.8115573525428772;0.0001329656079178676
11;0.40313130617141724;0.8166120052337646;0.0001329656079178676
12;0.39473217725753784;0.8210837841033936;0.0001329656079178676
13;0.3862904906272888;0.8260928988456726;0.0001329656079178676
14;0.37834838032722473;0.8308196663856506;0.0001329656079178676
15;0.37100836634635925;0.8350910544395447;0.0001329656079178676
16;0.36236250400543213;0.8395901918411255;0.00011966905003646389
17;0.3554110825061798;0.8429052829742432;0.00011966905003646389
18;0.3487698435783386;0.8467395305633545;0.00011966905003646389
19;0.3423824608325958;0.8505191206932068;0.00011966905003646389
20;0.3358495533466339;0.8539708852767944;0.00011966905003646389
21;0.3297923803329468;0.856948971748352;0.00011966905003646389
22;0.32352614402770996;0.8600728511810303;0.00011966905003646389
23;0.31755948066711426;0.8631784915924072;0.00011966905003646389
24;0.311208575963974;0.8666120171546936;0.00010770214430522174
